city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
усинск,north-western_fd,Северо-Западный ФО,0,,
сестрорецк,north-western_fd,Северо-Западный ФО,0,,
белозерск,north-western_fd,Северо-Западный ФО,0,,
снежногорск,north-western_fd,Северо-Западный ФО,0,,
пустошка,north-western_fd,Северо-Западный ФО,0,,
гатчина,north-western_fd,Северо-Западный ФО,0,,
всеволжск,north-western_fd,Северо-Западный ФО,0,,
неман,north-western_fd,Северо-Западный ФО,0,,
окуловка,north-western_fd,Северо-Западный ФО,0,,
шписсельбург,north-western_fd,Северо-Западный ФО,0,,
гусев,north-western_fd,Северо-Западный ФО,0,,
пионерский,north-western_fd,Северо-Западный ФО,0,,
сосногорск,north-western_fd,Северо-Западный ФО,0,,
кадников,north-western_fd,Северо-Западный ФО,0,,
ковдор,north-western_fd,Северо-Западный ФО,0,,
бабаево,north-western_fd,Северо-Западный ФО,0,,
нарьян мар,north-western_fd,Северо-Западный ФО,0,,
карополь,north-western_fd,Северо-Западный ФО,0,,
печора,north-western_fd,Северо-Западный ФО,0,,
пыталово,north-western_fd,Северо-Западный ФО,0,,
кингисепп,north-western_fd,Северо-Западный ФО,0,,
вельск,north-western_fd,Северо-Западный ФО,0,,
тихвин,north-western_fd,Северо-Западный ФО,0,,
берёзовский,siberian_fd,Сибирский ФО,1,,
кириши,north-western_fd,Северо-Западный ФО,0,,
полесск,north-western_fd,Северо-Западный ФО,0,,
светный,north-western_fd,Северо-Западный ФО,0,,
кудрово,north-western_fd,Северо-Западный ФО,0,,
волосово,north-western_fd,Северо-Западный ФО,0,,
берёзовский,ural_fd,Уральский ФО,1,,
пудож,north-western_fd,Северо-Западный ФО,0,,
заозёрск,north-western_fd,Северо-Западный ФО,0,,
коммунар,north-western_fd,Северо-Западный ФО,0,,
пестово,north-western_fd,Северо-Западный ФО,0,,
ладушкин,north-western_fd,Северо-Западный ФО,0,,
островной,north-western_fd,Северо-Западный ФО,0,,
грязовец,north-western_fd,Северо-Западный ФО,0,,
оленегорск,north-western_fd,Северо-Западный ФО,0,,
алатиты,north-western_fd,Северо-Западный ФО,0,,
приозерск,north-western_fd,Северо-Западный ФО,0,,
костомукша,north-western_fd,Северо-Западный ФО,0,,
сланцы,north-western_fd,Северо-Западный ФО,0,,
невель,north-western_fd,Северо-Западный ФО,0,,
боровичи,north-western_fd,Северо-Западный ФО,0,,
великий новгород,north-western_fd,Северо-Западный ФО,0,"[""великий""]",
новодвинск,north-western_fd,Северо-Западный ФО,0,,
славск,north-western_fd,Северо-Западный ФО,0,,
сертолово,north-western_fd,Северо-Западный ФО,0,,
заполярный,north-western_fd,Северо-Западный ФО,0,,
благовещенск,privolzhsky_fd,Приволжский ФО,1,,
нарьян-мар,north-western_fd,Северо-Западный ФО,0,,
валдай,north-western_fd,Северо-Западный ФО,0,,
сыктывкар,north-western_fd,Северо-Западный ФО,0,,
старая русса,north-western_fd,Северо-Западный ФО,0,,
витегра,north-western_fd,Северо-Западный ФО,0,,
спб,north-western_fd,Северо-Западный ФО,0,,
малая вишера,north-western_fd,Северо-Западный ФО,0,,
благовещенск,eastern_fd,Дальневосточный ФО,1,,
чудово,north-western_fd,Северо-Западный ФО,0,,
воркута,north-western_fd,Северо-Западный ФО,0,,
гурьевск,north-western_fd,Северо-Западный ФО,1,,
лахденпохья,north-western_fd,Северо-Западный ФО,0,,
великие луки,north-western_fd,Северо-Западный ФО,0,,
вуктыл,north-western_fd,Северо-Западный ФО,0,,
емва,north-western_fd,Северо-Западный ФО,0,,
озерск,north-western_fd,Северо-Западный ФО,0,,
приморск,north-western_fd,Северо-Западный ФО,0,,
